,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
237,balkhash,100,KZ,1579921366,92,46.84,74.98,24.78,15.35
238,yumen,0,CN,1579921270,54,40.28,97.2,22.06,11.41
239,boguchany,100,RU,1579921367,94,58.38,97.45,25.11,5.61
240,asau,35,RO,1579921367,79,46.43,26.4,23.0,5.82
241,buloh kasap,12,ID,1579921367,76,5.25,96.14,74.53,3.85
242,saint-pierre,100,RE,1579921252,100,-21.34,55.48,77.0,25.28
243,shimanovsk,0,RU,1579921368,89,52.0,127.7,-6.47,6.71
244,jibuti,1,DJ,1579921368,78,11.5,42.5,78.8,3.36
245,rengasdengklok,40,ID,1579921368,100,-6.16,107.3,86.0,3.36
246,kodinsk,100,RU,1579921368,94,58.69,99.18,26.96,7.72
247,qasigiannguit,100,GL,1579921306,51,68.82,-51.19,12.2,17.22
248,rocha,0,UY,1579921250,49,-34.48,-54.33,70.83,7.9
249,kavaratti,100,IN,1579921368,75,10.57,72.64,81.55,7.83
250,zlobin,20,HR,1579921369,81,45.29,14.65,55.0,2.24
251,baruun-urt,0,MN,1579921369,87,46.68,113.28,4.1,8.05
252,simbahan,0,PH,1579921369,77,6.3,120.58,82.44,5.64
253,lompoc,1,US,1579921130,55,34.64,-120.46,62.6,6.93
254,hirara,75,JP,1579921369,83,24.8,125.28,77.0,10.29
255,nome,1,US,1579921172,63,64.5,-165.41,-4.0,3.36
256,wanning,61,CN,1579921369,69,18.8,110.4,75.92,4.65
257,maragogi,100,BR,1579921231,79,-9.01,-35.22,81.25,11.27
258,menongue,100,AO,1579921370,84,-14.66,17.69,62.17,2.04
259,tsementnyy,81,RU,1579921370,91,57.47,60.14,5.09,8.34
260,kidal,64,ML,1579921370,14,18.44,1.41,66.69,5.64
261,san patricio,69,ML,1579921312,10,13.3,-4.9,71.01,9.28
262,talara,59,PE,1579921370,89,-4.58,-81.27,73.87,11.14
263,hithadhoo,79,MV,1579921370,78,-0.6,73.08,83.28,14.74
264,markha,90,RU,1579921370,56,62.11,129.73,-49.0,4.47
265,sechura,100,PE,1579921370,84,-5.56,-80.82,73.9,8.43
266,harnai,29,PK,1579921370,69,30.1,67.94,51.44,1.23
267,kiunga,100,PG,1579921371,93,-6.12,141.29,80.92,2.28
268,kavieng,7,PG,1579921269,68,-2.57,150.8,84.27,11.32
269,sayyan,14,YE,1579921371,89,15.17,44.32,49.12,1.54
270,muros,20,ES,1579921259,100,42.78,-9.06,46.99,4.7
271,mahebourg,75,MU,1579921371,100,-20.41,57.7,80.01,18.34
272,ust-nera,55,RU,1579921372,98,64.57,143.2,-42.92,1.7
273,bilwang,1,PH,1579921372,89,10.88,124.47,81.0,6.87
274,berdigestyakh,17,RU,1579921372,94,62.1,126.7,-30.48,5.84
275,new london,1,LR,1579921372,98,6.65,-10.59,73.15,2.01
276,issia,0,CI,1579921372,76,6.49,-6.59,67.5,1.39
277,belmonte,40,BR,1579921372,83,-15.86,-38.88,78.8,8.05
278,panama city,20,PA,1579921372,83,9.0,-80.0,80.01,9.17
279,cherskiy,100,RU,1579921259,93,68.75,161.3,-30.15,3.02
280,beterou,0,BJ,1579921372,11,9.2,2.26,71.15,8.32
281,esil,100,KZ,1579921373,94,51.96,66.4,8.49,12.03
282,eydhafushi,61,MV,1579921373,78,5.1,73.07,82.62,18.61
283,knyaginino,46,RU,1579921373,93,55.82,45.03,27.61,12.21
284,grindavik,90,IS,1579921373,94,63.84,-22.43,32.0,27.51
285,ushtobe,100,KZ,1579921373,98,45.25,77.98,34.95,8.75
286,cairns,75,AU,1579921166,88,-16.92,145.77,84.99,6.93
287,castelo do piaui,100,BR,1579921373,98,-20.6,-41.18,65.46,9.48
288,ondangwa,94,NA,1579921374,61,-17.92,15.95,78.8,3.36
289,cody,90,US,1579921374,51,44.53,-109.06,37.99,8.05
290,espanola,1,US,1579921339,74,35.99,-106.08,35.01,8.05
291,tias,0,ES,1579921374,72,28.96,-13.64,60.8,5.82
292,bulungu,100,CD,1579921374,76,-4.55,18.6,73.65,1.28
293,evensk,100,RU,1579921374,94,61.95,159.23,5.83,18.61
294,mahibadhoo,100,MV,1579921375,79,3.78,72.97,82.35,18.21
295,krasnoselkup,100,RU,1579921285,93,65.7,82.47,9.46,14.72
296,hastings,32,GB,1579921375,93,50.86,0.57,42.01,9.17
297,jalu,0,LY,1579921375,66,29.03,21.55,51.26,4.97
298,constitucion,0,CL,1579921260,63,-35.33,-72.42,57.33,5.99
299,champerico,0,GT,1579921375,81,14.3,-91.92,74.91,3.74
300,sitka,90,US,1579921375,74,57.05,-135.33,33.8,6.93
301,sheboygan,90,US,1579921375,100,43.73,-87.93,34.0,6.89
302,nchelenge,100,ZM,1579921375,89,-9.35,28.73,69.49,5.86
303,liuzhou,100,CN,1579921376,86,24.31,109.39,48.85,15.17
304,puerto lleras,75,ES,1579921376,100,36.59,-6.23,53.6,12.75
305,koutiala,0,ML,1579921376,11,12.39,-5.46,68.97,9.8
306,ust-maya,32,RU,1579921376,95,60.42,134.53,-34.08,2.28
307,kangaatsiaq,100,GL,1579921376,77,68.31,-53.46,17.85,14.94
308,edirne,0,TR,1579921376,28,41.68,26.56,25.0,48.99
309,hasaki,75,JP,1579921376,65,35.73,140.83,50.0,8.05
310,port-cartier,5,CA,1579921377,83,50.03,-66.87,-5.8,3.36
311,huarmey,100,PE,1579921377,65,-10.07,-78.15,74.5,2.19
312,changde,100,CN,1579921377,83,29.05,111.68,41.79,12.55
313,derzhavinsk,95,KZ,1579921248,93,51.1,66.32,5.34,17.45
314,grootfontein,74,NA,1579921377,74,-19.57,18.12,67.03,1.41
315,husavik,90,IS,1579921377,74,66.04,-17.34,28.4,28.86
316,svetlogorsk,100,BY,1579921283,97,52.63,29.73,34.2,13.2
317,sorland,0,NO,1579921125,59,67.67,12.69,36.68,17.4
318,matagami,40,CA,1579921377,92,49.75,-77.63,6.8,2.24
319,alofi,90,NU,1579921378,94,-19.06,-169.92,80.6,8.05
320,abu dhabi,0,IN,1579921378,34,24.6,72.7,60.93,6.13
321,macau,40,MO,1579921114,78,22.2,113.55,75.99,10.29
322,barcelos,87,PT,1579921378,81,41.54,-8.62,46.99,3.36
323,nouadhibou,99,MR,1579921378,63,20.93,-17.03,64.4,16.11
324,victoria,40,HK,1579921281,73,22.29,114.16,73.99,8.05
325,piombino,75,IT,1579921378,87,42.93,10.52,55.0,9.17
326,along,0,IN,1579921379,65,28.17,94.77,49.55,3.65
327,padang,14,ID,1579921227,63,-0.95,100.35,82.47,1.19
328,ixtapa,90,MX,1579921379,78,20.7,-105.2,77.0,3.36
329,rudbar,6,AF,1579921379,92,30.15,62.6,49.41,1.1
330,aswan,0,EG,1579921379,75,24.09,32.91,45.59,8.03
331,manyana,48,BW,1579921379,77,-23.4,21.72,66.87,1.63
332,pizarro,68,CO,1579921379,80,4.95,-77.37,81.41,3.44
333,bernalillo,1,US,1579921379,52,35.05,-106.67,43.0,3.78
334,paramonga,100,PE,1579921380,81,-10.67,-77.83,72.64,8.84
335,port macquarie,100,CD,1579921346,77,-7.03,29.76,74.95,7.61
336,makurdi,83,NG,1579921380,11,7.74,8.51,66.76,4.7
337,riyadh,0,SA,1579921210,43,24.69,46.72,50.0,4.7
338,mirnyy,100,RU,1579921380,82,62.54,113.96,-25.6,4.47
339,dingle,35,PH,1579921380,71,11.0,122.67,84.49,7.02
340,giyani,1,ZA,1579921380,91,-23.3,30.72,67.03,1.88
341,georgetown,20,MY,1579921371,51,5.41,100.34,86.0,8.05
342,samarai,99,PG,1579921346,62,-10.62,150.67,88.02,5.66
343,shitanjing,0,CN,1579921381,46,39.23,106.34,28.9,2.06
344,ostersund,98,SE,1579921205,79,63.18,14.64,28.99,21.92
345,dryden,90,CA,1579921356,85,49.78,-92.75,19.4,4.7
346,olinda,90,BR,1579921381,78,-8.01,-34.86,82.4,3.36
347,canaries,20,ES,1579921381,58,28.0,-15.5,57.99,5.82
348,cabedelo,75,BR,1579921381,94,-6.98,-34.83,78.8,5.82
349,gibara,0,CU,1579921381,82,21.11,-76.13,68.0,6.93
350,norman wells,1,US,1579921209,69,35.22,-97.44,42.01,6.93
351,batagay-alyta,0,RU,1579921131,55,67.8,130.41,-33.56,3.58
352,daru,98,PG,1579921382,51,-9.08,143.21,92.08,5.23
353,mersin,0,TR,1579921382,59,36.86,34.65,33.8,3.36
354,salekhard,99,RU,1579921382,97,66.53,66.6,0.82,2.55
355,nanortalik,100,GL,1579921382,75,60.14,-45.24,20.73,31.65
356,mys shmidta,100,RU,1579921382,97,62.06,48.62,4.1,3.83
357,shingu,75,JP,1579921382,53,33.73,135.98,51.8,5.82
358,tampakan,75,PH,1579921383,88,6.44,124.93,78.8,2.24
359,bowen,90,AU,1579921383,88,-20.02,148.23,86.0,5.82
360,papar,75,MY,1579921383,74,5.73,115.93,90.0,4.7
361,edd,97,ER,1579921383,71,13.93,41.69,72.7,9.28
362,basco,100,PH,1579921383,80,20.45,121.97,77.22,20.98
363,bam,0,IR,1579921383,70,29.11,58.36,47.79,1.19
364,nabire,41,ID,1579921383,53,-3.37,135.48,89.35,4.74
365,seymchan,88,RU,1579921383,90,62.88,152.43,-28.75,4.94
366,port blair,100,CD,1579921383,77,-7.03,29.76,74.95,7.61
367,opuwo,15,NA,1579921266,48,-18.06,13.84,66.0,3.0
368,tarauaca,100,BR,1579921384,98,-8.16,-70.77,71.8,1.05
369,xai-xai,0,MZ,1579921384,87,-25.05,33.64,68.09,3.29
370,limoges,0,FR,1579921384,86,45.75,1.33,44.01,3.36
371,flinders,40,AU,1579921384,54,-34.58,150.86,87.01,14.99
372,glendive,1,US,1579921239,92,47.11,-104.71,33.01,5.82
373,richards bay,90,US,1579921384,92,46.84,-95.91,26.6,4.7
374,hun,65,LY,1579921384,44,29.13,15.95,52.47,5.93
375,pacific grove,90,US,1579921385,100,38.48,-90.74,35.6,6.93
376,murgab,90,TM,1579921385,86,37.5,61.97,39.2,6.93
377,korla,100,CN,1579921385,68,41.76,86.15,15.03,2.17
378,plouzane,90,FR,1579921385,93,48.38,-4.62,42.8,4.7
379,mamallapuram,20,IN,1579921385,94,12.63,80.17,73.99,5.84
380,rio gallegos,75,GR,1579921385,93,38.3,21.78,50.0,3.36
381,muscat,20,OM,1579921202,88,23.61,58.59,69.8,2.24
382,bubaque,98,GW,1579921385,69,11.28,-15.83,78.24,10.85
383,tecpan,20,GT,1579921385,68,14.76,-90.99,64.4,13.87
384,fortuna,90,US,1579921386,87,40.6,-124.16,57.0,4.85
385,suluq,0,LY,1579921386,73,31.67,20.25,49.82,5.08
386,isangel,24,VU,1579921386,80,-19.55,169.27,79.27,12.53
387,kurchum,100,KZ,1579921386,71,48.57,83.65,25.11,18.7
388,kokoda,100,PG,1579921386,77,-8.88,147.74,71.51,6.15
